# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
5694.16,0,0.0179176,0,1,1,-5677.51,1.58554,0.904524,0.329532,-0.427061,1.28666,0.285817,1.79545,-0.118818,-0.548651,-0.204996,-0.146175,-1.27987,-1.4583,0.0552823,-1.30286,1.53058,1.59169,0.750072,0.431802,0.170253,-0.775208,0.16099,-1.86524,-1.77907,0.74173,0.54784,-0.869785,-0.520304,0.61855,0.135812,1.58554,0.904524,0.329532,-0.427061,1.28666,0.285817,1.79545,-0.118818,-0.548651,-0.204996,-0.146175,-1.27987,-6.4583,0.0552823,-1.30286,1.53058,1.59169,0.750072,-4.5682,0.170253,-0.775208,0.16099,-1.86524,-1.77907,0.74173,0.54784,-0.869785,-0.520304,0.61855,0.135812
6034.49,1,0.00144197,4,15,0,-5676.96,1.57457,0.896841,0.324283,-0.429197,1.26544,0.269358,1.79934,-0.140733,-0.597477,-0.14693,-0.161269,-1.19859,-1.48513,0.0652952,-1.2638,1.50638,1.59807,0.724248,0.409157,0.185937,-0.743057,0.134295,-1.86685,-1.83411,0.762777,0.568273,-0.845017,-0.528715,0.614258,0.109901,1.57457,0.896841,0.324283,-0.429197,1.26544,0.269358,1.79934,-0.140733,-0.597477,-0.14693,-0.161269,-1.19859,-6.48513,0.0652952,-1.2638,1.50638,1.59807,0.724248,-4.59084,0.185937,-0.743057,0.134295,-1.86685,-1.83411,0.762777,0.568273,-0.845017,-0.528715,0.614258,0.109901
6291.34,1,0.00278004,3,7,0,-6016.95,1.58797,0.914322,0.300953,-0.427394,1.26548,0.281868,1.7321,-0.134735,-0.609968,-0.0627312,-0.200755,-1.14172,-1.4506,0.080418,-1.27612,1.50114,1.609,0.698363,0.42042,0.198096,-0.752211,0.0948128,-1.87912,-1.85459,0.757336,0.573059,-0.819893,-0.526016,0.596407,0.0928534,1.58797,0.914322,0.300953,-0.427394,1.26548,0.281868,1.7321,-0.134735,-0.609968,-0.0627312,-0.200755,-1.14172,-6.4506,0.080418,-1.27612,1.50114,1.609,0.698363,-4.57958,0.198096,-0.752211,0.0948128,-1.87912,-1.85459,0.757336,0.573059,-0.819893,-0.526016,0.596407,0.0928534
6429.27,1,0.00539629,2,3,0,-6279.65,1.58172,0.913773,0.292476,-0.42615,1.25235,0.282562,1.72811,-0.142897,-0.630036,-0.0155631,-0.228766,-1.09106,-1.42984,0.0816771,-1.26116,1.47915,1.6162,0.66811,0.427556,0.201819,-0.724403,0.0662772,-1.87884,-1.89119,0.764747,0.583629,-0.817756,-0.523365,0.596844,0.0769369,1.58172,0.913773,0.292476,-0.42615,1.25235,0.282562,1.72811,-0.142897,-0.630036,-0.0155631,-0.228766,-1.09106,-6.42984,0.0816771,-1.26116,1.47915,1.6162,0.66811,-4.57244,0.201819,-0.724403,0.0662772,-1.87884,-1.89119,0.764747,0.583629,-0.817756,-0.523365,0.596844,0.0769369
6799.87,1,0.0104922,4,15,0,-6441.93,1.57096,0.911045,0.292866,-0.394248,1.28286,0.265818,1.5935,-0.131934,-0.558916,0.305351,-0.417106,-0.809372,-1.45724,0.140793,-1.24735,1.32543,1.59751,0.548418,0.417386,0.193813,-0.698714,-0.06287,-1.79115,-2.00394,0.790339,0.593904,-0.744274,-0.525788,0.591873,0.0763932,1.57096,0.911045,0.292866,-0.394248,1.28286,0.265818,1.5935,-0.131934,-0.558916,0.305351,-0.417106,-0.809372,-6.45724,0.140793,-1.24735,1.32543,1.59751,0.548418,-4.58261,0.193813,-0.698714,-0.06287,-1.79115,-2.00394,0.790339,0.593904,-0.744274,-0.525788,0.591873,0.0763932
6799.87,1.06695e-37,0.0203599,1,3,1,-6779.47,1.57096,0.911045,0.292866,-0.394248,1.28286,0.265818,1.5935,-0.131934,-0.558916,0.305351,-0.417106,-0.809372,-1.45724,0.140793,-1.24735,1.32543,1.59751,0.548418,0.417386,0.193813,-0.698714,-0.06287,-1.79115,-2.00394,0.790339,0.593904,-0.744274,-0.525788,0.591873,0.0763932,1.57096,0.911045,0.292866,-0.394248,1.28286,0.265818,1.5935,-0.131934,-0.558916,0.305351,-0.417106,-0.809372,-6.45724,0.140793,-1.24735,1.32543,1.59751,0.548418,-4.58261,0.193813,-0.698714,-0.06287,-1.79115,-2.00394,0.790339,0.593904,-0.744274,-0.525788,0.591873,0.0763932
6919.5,0.99084,0.00181295,5,31,0,-6785.93,1.49016,0.859678,0.247223,-0.337925,1.26217,0.250606,1.47687,-0.156689,-0.538338,0.212817,-0.319864,-0.827554,-1.71488,0.158851,-1.06988,1.24856,1.53484,0.506684,0.446504,0.248568,-0.767702,-0.0580385,-1.81329,-2.03798,0.845244,0.482934,-0.696134,-0.52765,0.615418,0.0977837,1.49016,0.859678,0.247223,-0.337925,1.26217,0.250606,1.47687,-0.156689,-0.538338,0.212817,-0.319864,-0.827554,-6.71488,0.158851,-1.06988,1.24856,1.53484,0.506684,-4.5535,0.248568,-0.767702,-0.0580385,-1.81329,-2.03798,0.845244,0.482934,-0.696134,-0.52765,0.615418,0.0977837
6982.46,0.996716,0.00346104,4,15,0,-6911.52,1.37109,0.888455,0.162259,-0.314053,1.20678,0.202596,1.39882,-0.13983,-0.535965,0.296383,-0.313344,-0.789473,-1.76766,0.198185,-1.03562,1.21773,1.47194,0.477206,0.395195,0.20523,-0.806791,-0.136183,-1.79934,-2.04227,0.810479,0.463198,-0.650717,-0.551927,0.57941,0.0721104,1.37109,0.888455,0.162259,-0.314053,1.20678,0.202596,1.39882,-0.13983,-0.535965,0.296383,-0.313344,-0.789473,-6.76766,0.198185,-1.03562,1.21773,1.47194,0.477206,-4.6048,0.20523,-0.806791,-0.136183,-1.79934,-2.04227,0.810479,0.463198,-0.650717,-0.551927,0.57941,0.0721104
7383.93,0.899547,0.00668275,5,31,0,-6967.84,0.75282,1.18106,-0.0729621,-0.303336,0.888389,-0.339225,0.938498,-0.151595,-0.475926,0.253274,-0.417142,-0.830371,-2.36018,0.414869,-0.801545,0.832504,1.22465,0.364035,0.0270475,0.0236852,-0.954254,0.0399643,-1.8525,-2.26004,0.592539,0.147582,-0.173566,-0.392628,0.519184,0.166341,0.75282,1.18106,-0.0729621,-0.303336,0.888389,-0.339225,0.938498,-0.151595,-0.475926,0.253274,-0.417142,-0.830371,-7.36018,0.414869,-0.801545,0.832504,1.22465,0.364035,-4.97295,0.0236852,-0.954254,0.0399643,-1.8525,-2.26004,0.592539,0.147582,-0.173566,-0.392628,0.519184,0.166341
7600.21,0.292573,0.00955871,4,15,0,-7366.14,0.622927,1.18894,0.113661,-0.293701,0.902383,-0.322974,0.722833,-0.132329,-0.482874,0.132097,-0.500846,-0.896427,-2.54355,0.467166,-0.713015,0.731666,1.1313,0.368832,-0.355297,0.0813014,-1.14646,0.0657169,-1.98406,-2.43755,0.707814,0.0998213,-0.00583463,-0.441567,0.466093,0.153774,0.622927,1.18894,0.113661,-0.293701,0.902383,-0.322974,0.722833,-0.132329,-0.482874,0.132097,-0.500846,-0.896427,-7.54355,0.467166,-0.713015,0.731666,1.1313,0.368832,-5.3553,0.0813014,-1.14646,0.0657169,-1.98406,-2.43755,0.707814,0.0998213,-0.00583463,-0.441567,0.466093,0.153774
