# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=1
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
-197687,1,0.000488281,1,1,0,1.61705e+06,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,1.64648,0.381209,0.706383,-1.41516,1.2747,-0.890723,-2.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,-3.35352,0.381209,0.706383,-1.41516,1.2747,-0.890723,-7.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069
-197687,0,14.3855,0,1,1,197703,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,1.64648,0.381209,0.706383,-1.41516,1.2747,-0.890723,-2.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,-3.35352,0.381209,0.706383,-1.41516,1.2747,-0.890723,-7.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069
-197687,0,2.43117,0,1,1,197707,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,1.64648,0.381209,0.706383,-1.41516,1.2747,-0.890723,-2.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,-3.35352,0.381209,0.706383,-1.41516,1.2747,-0.890723,-7.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069
-197687,0,0.239791,0,1,1,197695,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,1.64648,0.381209,0.706383,-1.41516,1.2747,-0.890723,-2.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,-3.35352,0.381209,0.706383,-1.41516,1.2747,-0.890723,-7.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069
-197687,0,0.0186273,0,1,1,197697,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,1.64648,0.381209,0.706383,-1.41516,1.2747,-0.890723,-2.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069,-0.646877,-1.34471,-1.80208,0.238034,0.446492,-1.14315,-0.0373885,-1.59484,1.43659,-1.29023,0.493654,-0.1963,-3.35352,0.381209,0.706383,-1.41516,1.2747,-0.890723,-7.12034,-1.80682,1.58834,-1.52674,1.47158,-0.306143,-0.715955,0.350543,0.868325,-1.5874,0.804356,-1.00069
-29305.6,1,0.00130482,1,1,0,150334,-0.645217,-1.33924,-1.80082,0.242315,0.452278,-1.14222,0.336995,-1.52316,1.40086,-1.20636,0.666262,-0.0315727,1.51666,0.380164,0.731708,-1.45765,1.21926,-0.953866,-2.26342,-1.8235,1.60129,-1.53792,1.42243,-0.358843,-0.593682,0.370955,0.843513,-1.5678,0.84807,-0.945167,-0.645217,-1.33924,-1.80082,0.242315,0.452278,-1.14222,0.336995,-1.52316,1.40086,-1.20636,0.666262,-0.0315727,-3.48334,0.380164,0.731708,-1.45765,1.21926,-0.953866,-7.26342,-1.8235,1.60129,-1.53792,1.42243,-0.358843,-0.593682,0.370955,0.843513,-1.5678,0.84807,-0.945167
-8603.6,1,0.00189104,1,1,0,24525.1,-0.644338,-1.33622,-1.79882,0.243992,0.455701,-1.14189,0.495412,-1.49927,1.38416,-1.17529,0.737561,0.0321161,1.46649,0.377947,0.741537,-1.47363,1.19535,-0.979675,-2.32854,-1.82527,1.60969,-1.54254,1.40177,-0.378426,-0.529206,0.383411,0.831399,-1.55811,0.873527,-0.92288,-0.644338,-1.33622,-1.79882,0.243992,0.455701,-1.14189,0.495412,-1.49927,1.38416,-1.17529,0.737561,0.0321161,-3.53351,0.377947,0.741537,-1.47363,1.19535,-0.979675,-7.32854,-1.82527,1.60969,-1.54254,1.40177,-0.378426,-0.529206,0.383411,0.831399,-1.55811,0.873527,-0.92288
2761.58,1,0.00305706,2,3,0,5404.59,-0.644996,-1.33938,-1.797,0.243169,0.455919,-1.1407,0.698856,-1.46767,1.36805,-1.1389,0.826743,0.111555,1.40175,0.378455,0.753512,-1.49804,1.17141,-1.00911,-2.40805,-1.82634,1.61967,-1.54813,1.37497,-0.403755,-0.435734,0.403384,0.818202,-1.54541,0.909193,-0.890049,-0.644996,-1.33938,-1.797,0.243169,0.455919,-1.1407,0.698856,-1.46767,1.36805,-1.1389,0.826743,0.111555,-3.59825,0.378455,0.753512,-1.49804,1.17141,-1.00911,-7.40805,-1.82634,1.61967,-1.54813,1.37497,-0.403755,-0.435734,0.403384,0.818202,-1.54541,0.909193,-0.890049
6120.28,1,0.00530085,3,7,0,-3932.85,-0.641234,-1.33623,-1.78044,0.250556,0.456955,-1.13802,0.905288,-1.43328,1.33418,-1.08757,0.914869,0.190139,1.33766,0.375839,0.754051,-1.51043,1.14527,-1.03908,-2.48956,-1.8191,1.62655,-1.55662,1.34583,-0.418761,-0.321138,0.424425,0.80277,-1.53443,0.94791,-0.860379,-0.641234,-1.33623,-1.78044,0.250556,0.456955,-1.13802,0.905288,-1.43328,1.33418,-1.08757,0.914869,0.190139,-3.66234,0.375839,0.754051,-1.51043,1.14527,-1.03908,-7.48956,-1.8191,1.62655,-1.55662,1.34583,-0.418761,-0.321138,0.424425,0.80277,-1.53443,0.94791,-0.860379
7092.65,1,0.00961161,2,3,0,-6312.09,-0.649468,-1.33929,-1.77407,0.2481,0.46244,-1.14061,0.83976,-1.33548,1.24161,-0.953279,0.986017,0.148903,1.32843,0.347786,0.837208,-1.54495,1.05371,-1.08103,-2.4646,-1.81913,1.68135,-1.60527,1.32639,-0.370238,0.0982925,0.496082,0.754846,-1.45268,1.03878,-0.731255,-0.649468,-1.33929,-1.77407,0.2481,0.46244,-1.14061,0.83976,-1.33548,1.24161,-0.953279,0.986017,0.148903,-3.67157,0.347786,0.837208,-1.54495,1.05371,-1.08103,-7.4646,-1.81913,1.68135,-1.60527,1.32639,-0.370238,0.0982925,0.496082,0.754846,-1.45268,1.03878,-0.731255
