# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=4
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
-5.72096e+06,1,6.10352e-05,1,1,0,6.41547e+07,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-0.281589,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,1.51769,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-5.28159,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,-3.48231,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074
-5.72096e+06,0,14.3855,0,1,1,5.72098e+06,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-0.281589,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,1.51769,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-5.28159,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,-3.48231,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074
-5.72096e+06,0,2.43117,0,1,1,5.72099e+06,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-0.281589,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,1.51769,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-5.28159,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,-3.48231,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074
-5.72096e+06,0,0.239791,0,1,1,5.72098e+06,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-0.281589,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,1.51769,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-5.28159,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,-3.48231,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074
-5.72096e+06,0,0.0186273,0,1,1,5.72098e+06,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-0.281589,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,1.51769,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-5.28159,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,-3.48231,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074
-5.72096e+06,0,0.00130482,0,1,1,5.72098e+06,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-0.281589,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,1.51769,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074,0.375591,0.901611,-1.5576,-1.06936,-0.598377,-0.341785,1.19762,-1.42931,1.72135,-0.164134,-0.828345,-0.579399,-5.28159,-0.9979,-1.35345,-1.49637,-1.62473,1.76733,-3.48231,1.69004,-0.830181,0.448495,-1.07457,-1.66738,1.90226,-0.117748,1.2224,0.787879,1.67171,0.46074
-1.73429e+06,1,8.85015e-05,5,31,0,5.41361e+06,0.375385,0.901622,-1.55779,-1.069,-0.598352,-0.34167,1.35049,-1.33209,1.60872,-0.231889,-0.749791,-0.483855,-0.332521,-1.02855,-1.31467,-1.47267,-1.6501,1.73499,1.43451,1.63464,-0.772706,0.483821,-1.11965,-1.71566,1.88473,-0.129136,1.23178,0.792498,1.66309,0.453078,0.375385,0.901622,-1.55779,-1.069,-0.598352,-0.34167,1.35049,-1.33209,1.60872,-0.231889,-0.749791,-0.483855,-5.33252,-1.02855,-1.31467,-1.47267,-1.6501,1.73499,-3.56549,1.63464,-0.772706,0.483821,-1.11965,-1.71566,1.88473,-0.129136,1.23178,0.792498,1.66309,0.453078
-750531,1,0.000135987,5,31,0,1.67163e+06,0.375359,0.901438,-1.55734,-1.06903,-0.598452,-0.341837,1.46636,-1.26422,1.52746,-0.27529,-0.695051,-0.415201,-0.371403,-1.04958,-1.28609,-1.45714,-1.66659,1.71199,1.37139,1.59557,-0.731632,0.506442,-1.15149,-1.75022,1.86928,-0.138131,1.23966,0.795434,1.65599,0.447292,0.375359,0.901438,-1.55734,-1.06903,-0.598452,-0.341837,1.46636,-1.26422,1.52746,-0.27529,-0.695051,-0.415201,-5.3714,-1.04958,-1.28609,-1.45714,-1.66659,1.71199,-3.62861,1.59557,-0.731632,0.506442,-1.15149,-1.75022,1.86928,-0.138131,1.23966,0.795434,1.65599,0.447292
-285447,1,0.000228818,2,3,0,718713,0.374915,0.901813,-1.55756,-1.06834,-0.59846,-0.341979,1.60754,-1.18681,1.43329,-0.321501,-0.63278,-0.336043,-0.417658,-1.07339,-1.25185,-1.44157,-1.68567,1.68424,1.29364,1.55045,-0.682913,0.530669,-1.18747,-1.7905,1.85025,-0.148859,1.24982,0.799902,1.64655,0.439067,0.374915,0.901813,-1.55756,-1.06834,-0.59846,-0.341979,1.60754,-1.18681,1.43329,-0.321501,-0.63278,-0.336043,-5.41766,-1.07339,-1.25185,-1.44157,-1.68567,1.68424,-3.70636,1.55045,-0.682913,0.530669,-1.18747,-1.7905,1.85025,-0.148859,1.24982,0.799902,1.64655,0.439067
-91159.6,1,0.000408639,3,7,0,271213,0.376303,0.902834,-1.55673,-1.06863,-0.597445,-0.342355,1.78,-1.10055,1.32424,-0.367758,-0.562514,-0.244887,-0.474495,-1.09937,-1.21254,-1.42471,-1.70499,1.65202,1.1955,1.49911,-0.627636,0.553442,-1.23013,-1.83763,1.82462,-0.164746,1.26202,0.804231,1.63419,0.427946,0.376303,0.902834,-1.55673,-1.06863,-0.597445,-0.342355,1.78,-1.10055,1.32424,-0.367758,-0.562514,-0.244887,-5.47449,-1.09937,-1.21254,-1.42471,-1.70499,1.65202,-3.8045,1.49911,-0.627636,0.553442,-1.23013,-1.83763,1.82462,-0.164746,1.26202,0.804231,1.63419,0.427946
