# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=2
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
5470.32,1,0.00624445,2,3,0,-5140.32,1.20441,1.01343,0.618398,2.04211,-0.492221,0.0334006,2.65862,-0.519604,0.596142,-1.43159,0.683366,0.722797,0.829081,-0.697639,0.142395,-1.63153,0.0967513,1.03206,1.26495,0.215768,0.879482,-1.68371,0.820668,0.768341,0.730021,0.631059,-1.12104,-1.47482,1.64068,1.16833,1.20441,1.01343,0.618398,2.04211,-0.492221,0.0334006,2.65862,-0.519604,0.596142,-1.43159,0.683366,0.722797,-4.17092,-0.697639,0.142395,-1.63153,0.0967513,1.03206,-3.73505,0.215768,0.879482,-1.68371,0.820668,0.768341,0.730021,0.631059,-1.12104,-1.47482,1.64068,1.16833
5470.32,4.13357e-118,0.0118438,1,3,1,-5461.09,1.20441,1.01343,0.618398,2.04211,-0.492221,0.0334006,2.65862,-0.519604,0.596142,-1.43159,0.683366,0.722797,0.829081,-0.697639,0.142395,-1.63153,0.0967513,1.03206,1.26495,0.215768,0.879482,-1.68371,0.820668,0.768341,0.730021,0.631059,-1.12104,-1.47482,1.64068,1.16833,1.20441,1.01343,0.618398,2.04211,-0.492221,0.0334006,2.65862,-0.519604,0.596142,-1.43159,0.683366,0.722797,-4.17092,-0.697639,0.142395,-1.63153,0.0967513,1.03206,-3.73505,0.215768,0.879482,-1.68371,0.820668,0.768341,0.730021,0.631059,-1.12104,-1.47482,1.64068,1.16833
5560.18,1,0.000973104,3,7,0,-5449.74,1.20802,1.00768,0.619039,2.04489,-0.491456,0.0290829,2.68025,-0.517616,0.598428,-1.43079,0.678306,0.724564,0.82233,-0.694714,0.145794,-1.62632,0.100433,1.0331,1.25908,0.215716,0.87619,-1.68414,0.818435,0.770006,0.728981,0.632953,-1.11804,-1.46988,1.63632,1.17389,1.20802,1.00768,0.619039,2.04489,-0.491456,0.0290829,2.68025,-0.517616,0.598428,-1.43079,0.678306,0.724564,-4.17767,-0.694714,0.145794,-1.62632,0.100433,1.0331,-3.74092,0.215716,0.87619,-1.68414,0.818435,0.770006,0.728981,0.632953,-1.11804,-1.46988,1.63632,1.17389
5740.53,1,0.00189767,6,63,0,-5549.25,1.20931,0.993058,0.610568,2.07612,-0.494886,0.0323848,2.83007,-0.501225,0.629584,-1.43235,0.662677,0.733121,0.778014,-0.655816,0.158468,-1.61184,0.128817,1.02418,1.17858,0.174115,0.8682,-1.6675,0.797452,0.730804,0.676793,0.616851,-1.11316,-1.48433,1.61997,1.17714,1.20931,0.993058,0.610568,2.07612,-0.494886,0.0323848,2.83007,-0.501225,0.629584,-1.43235,0.662677,0.733121,-4.22199,-0.655816,0.158468,-1.61184,0.128817,1.02418,-3.82142,0.174115,0.8682,-1.6675,0.797452,0.730804,0.676793,0.616851,-1.11316,-1.48433,1.61997,1.17714
5915.47,1,0.00371094,3,7,0,-5730.16,1.20852,1.00493,0.589749,2.08918,-0.482143,0.0397338,2.7635,-0.526433,0.633174,-1.44133,0.602309,0.675278,0.807357,-0.633626,0.188684,-1.60868,0.193035,1.05826,1.20887,0.153872,0.879028,-1.65708,0.799662,0.724517,0.668034,0.593876,-1.10944,-1.50747,1.60909,1.1724,1.20852,1.00493,0.589749,2.08918,-0.482143,0.0397338,2.7635,-0.526433,0.633174,-1.44133,0.602309,0.675278,-4.19264,-0.633626,0.188684,-1.60868,0.193035,1.05826,-3.79113,0.153872,0.879028,-1.65708,0.799662,0.724517,0.668034,0.593876,-1.10944,-1.50747,1.60909,1.1724
5952.13,1,0.00724833,2,3,0,-5910.57,1.20458,1.0058,0.587057,2.09471,-0.487994,0.0394161,2.78698,-0.526304,0.630621,-1.45173,0.609977,0.675504,0.794143,-0.623761,0.193857,-1.61277,0.202719,1.0635,1.18499,0.136628,0.886776,-1.65421,0.785278,0.720203,0.679879,0.590632,-1.11696,-1.52092,1.60501,1.17182,1.20458,1.0058,0.587057,2.09471,-0.487994,0.0394161,2.78698,-0.526304,0.630621,-1.45173,0.609977,0.675504,-4.20586,-0.623761,0.193857,-1.61277,0.202719,1.0635,-3.81501,0.136628,0.886776,-1.65421,0.785278,0.720203,0.679879,0.590632,-1.11696,-1.52092,1.60501,1.17182
5952.13,4.35866e-19,0.0141009,1,3,1,-5937.71,1.20458,1.0058,0.587057,2.09471,-0.487994,0.0394161,2.78698,-0.526304,0.630621,-1.45173,0.609977,0.675504,0.794143,-0.623761,0.193857,-1.61277,0.202719,1.0635,1.18499,0.136628,0.886776,-1.65421,0.785278,0.720203,0.679879,0.590632,-1.11696,-1.52092,1.60501,1.17182,1.20458,1.0058,0.587057,2.09471,-0.487994,0.0394161,2.78698,-0.526304,0.630621,-1.45173,0.609977,0.675504,-4.20586,-0.623761,0.193857,-1.61277,0.202719,1.0635,-3.81501,0.136628,0.886776,-1.65421,0.785278,0.720203,0.679879,0.590632,-1.11696,-1.52092,1.60501,1.17182
6002.45,0.999435,0.00128594,5,31,0,-5938.58,1.19113,1.00384,0.593412,2.09963,-0.483087,0.0333746,2.79837,-0.525425,0.631179,-1.45586,0.585435,0.659911,0.814972,-0.616935,0.179571,-1.60289,0.240601,1.0869,1.17581,0.128586,0.858422,-1.65482,0.78952,0.711507,0.668242,0.587845,-1.12312,-1.52163,1.59822,1.18988,1.19113,1.00384,0.593412,2.09963,-0.483087,0.0333746,2.79837,-0.525425,0.631179,-1.45586,0.585435,0.659911,-4.18503,-0.616935,0.179571,-1.60289,0.240601,1.0869,-3.82419,0.128586,0.858422,-1.65482,0.78952,0.711507,0.668242,0.587845,-1.12312,-1.52163,1.59822,1.18988
6286.27,1,0.00252282,4,15,0,-5992.18,1.19814,0.989953,0.592844,2.10884,-0.488536,0.0455022,2.85099,-0.534921,0.643934,-1.5085,0.357979,0.602684,0.776841,-0.398201,0.256315,-1.53938,0.383603,1.16361,1.11876,0.00885615,0.810869,-1.63152,0.749843,0.677544,0.612517,0.504728,-1.17763,-1.5822,1.54637,1.18322,1.19814,0.989953,0.592844,2.10884,-0.488536,0.0455022,2.85099,-0.534921,0.643934,-1.5085,0.357979,0.602684,-4.22316,-0.398201,0.256315,-1.53938,0.383603,1.16361,-3.88124,0.00885615,0.810869,-1.63152,0.749843,0.677544,0.612517,0.504728,-1.17763,-1.5822,1.54637,1.18322
6350,0.999219,0.00491895,4,15,0,-6270.69,1.22555,0.961127,0.647025,2.09703,-0.500026,0.0659745,2.85222,-0.541947,0.664124,-1.46053,0.313016,0.579754,0.747806,-0.34859,0.282333,-1.57658,0.434899,1.143,1.09952,-0.140964,0.767277,-1.63851,0.710693,0.688878,0.587097,0.533914,-1.15869,-1.58764,1.51852,1.13811,1.22555,0.961127,0.647025,2.09703,-0.500026,0.0659745,2.85222,-0.541947,0.664124,-1.46053,0.313016,0.579754,-4.25219,-0.34859,0.282333,-1.57658,0.434899,1.143,-3.90048,-0.140964,0.767277,-1.63851,0.710693,0.688878,0.587097,0.533914,-1.15869,-1.58764,1.51852,1.13811
6377.56,0.992509,0.00948462,3,7,0,-6341.34,1.2347,0.960819,0.665773,2.08529,-0.515393,0.0720271,2.86462,-0.533195,0.646881,-1.45902,0.301439,0.558666,0.734285,-0.298688,0.28761,-1.55666,0.460852,1.11869,1.12464,-0.172764,0.751917,-1.62285,0.674876,0.678238,0.591193,0.529818,-1.156,-1.57546,1.47587,1.13256,1.2347,0.960819,0.665773,2.08529,-0.515393,0.0720271,2.86462,-0.533195,0.646881,-1.45902,0.301439,0.558666,-4.26571,-0.298688,0.28761,-1.55666,0.460852,1.11869,-3.87536,-0.172764,0.751917,-1.62285,0.674876,0.678238,0.591193,0.529818,-1.156,-1.57546,1.47587,1.13256
6377.56,0.00781867,0.0177611,2,5,1,-6360.35,1.2347,0.960819,0.665773,2.08529,-0.515393,0.0720271,2.86462,-0.533195,0.646881,-1.45902,0.301439,0.558666,0.734285,-0.298688,0.28761,-1.55666,0.460852,1.11869,1.12464,-0.172764,0.751917,-1.62285,0.674876,0.678238,0.591193,0.529818,-1.156,-1.57546,1.47587,1.13256,1.2347,0.960819,0.665773,2.08529,-0.515393,0.0720271,2.86462,-0.533195,0.646881,-1.45902,0.301439,0.558666,-4.26571,-0.298688,0.28761,-1.55666,0.460852,1.11869,-3.87536,-0.172764,0.751917,-1.62285,0.674876,0.678238,0.591193,0.529818,-1.156,-1.57546,1.47587,1.13256
6572.18,0.993127,0.00183723,7,127,0,-6364.81,1.25565,0.972892,0.868689,2.22027,-0.551665,0.110238,2.67947,-0.522178,0.588713,-1.37975,0.099337,0.501963,0.3576,-0.0182799,0.383938,-1.49868,0.573172,1.03193,1.11354,-0.580532,0.472589,-1.50367,0.450721,0.458949,0.290273,0.766118,-1.15813,-1.63903,1.21531,0.938247,1.25565,0.972892,0.868689,2.22027,-0.551665,0.110238,2.67947,-0.522178,0.588713,-1.37975,0.099337,0.501963,-4.6424,-0.0182799,0.383938,-1.49868,0.573172,1.03193,-3.88646,-0.580532,0.472589,-1.50367,0.450721,0.458949,0.290273,0.766118,-1.15813,-1.63903,1.21531,0.938247
6826.69,0.89284,0.00346528,6,63,0,-6554.97,1.33713,0.781597,0.673997,2.46597,-0.606436,-0.0896432,2.07711,-0.607622,0.530231,-1.28321,-0.0477279,0.0769804,-0.208308,-0.120193,0.254669,-1.50988,0.272764,0.433708,0.278157,-0.699659,0.444451,-1.38228,0.397059,0.27047,0.557496,0.995613,-0.593817,-1.53726,0.651181,0.276887,1.33713,0.781597,0.673997,2.46597,-0.606436,-0.0896432,2.07711,-0.607622,0.530231,-1.28321,-0.0477279,0.0769804,-5.20831,-0.120193,0.254669,-1.50988,0.272764,0.433708,-4.72184,-0.699659,0.444451,-1.38228,0.397059,0.27047,0.557496,0.995613,-0.593817,-1.53726,0.651181,0.276887
6885.34,0.993914,0.00484695,5,31,0,-6817.18,1.30702,0.708643,0.649476,2.50059,-0.62477,-0.0844231,1.96804,-0.590163,0.535997,-1.32141,-0.101532,0.0271846,-0.393442,-0.109689,0.26136,-1.53297,0.266759,0.41553,0.258708,-0.703516,0.506585,-1.40573,0.218096,0.158845,0.643563,0.944273,-0.787227,-1.38862,0.600403,0.099315,1.30702,0.708643,0.649476,2.50059,-0.62477,-0.0844231,1.96804,-0.590163,0.535997,-1.32141,-0.101532,0.0271846,-5.39344,-0.109689,0.26136,-1.53297,0.266759,0.41553,-4.74129,-0.703516,0.506585,-1.40573,0.218096,0.158845,0.643563,0.944273,-0.787227,-1.38862,0.600403,0.099315
6958.46,0.809944,0.00900308,4,15,0,-6871.78,1.38394,0.720549,0.646827,2.49241,-0.612997,-0.163659,1.74072,-0.610652,0.596986,-1.31659,-0.125877,0.0175278,-0.702599,-0.0619618,0.395712,-1.58467,0.340712,0.375849,0.039493,-0.87016,0.555487,-1.42267,0.192746,0.119807,0.840165,1.01232,-0.747206,-1.3736,0.525884,-0.025229,1.38394,0.720549,0.646827,2.49241,-0.612997,-0.163659,1.74072,-0.610652,0.596986,-1.31659,-0.125877,0.0175278,-5.7026,-0.0619618,0.395712,-1.58467,0.340712,0.375849,-4.96051,-0.87016,0.555487,-1.42267,0.192746,0.119807,0.840165,1.01232,-0.747206,-1.3736,0.525884,-0.025229
6967.83,0.754549,0.00983072,4,15,0,-6943.77,1.40386,0.750681,0.651719,2.49314,-0.661782,-0.183761,1.6919,-0.663716,0.595372,-1.3145,-0.0850916,0.0136567,-0.725366,-0.058614,0.346039,-1.56137,0.283469,0.403479,0.0157953,-0.899749,0.532444,-1.44136,0.207722,0.0833711,0.831556,1.02969,-0.737355,-1.43355,0.582154,-0.0465283,1.40386,0.750681,0.651719,2.49314,-0.661782,-0.183761,1.6919,-0.663716,0.595372,-1.3145,-0.0850916,0.0136567,-5.72537,-0.058614,0.346039,-1.56137,0.283469,0.403479,-4.9842,-0.899749,0.532444,-1.44136,0.207722,0.0833711,0.831556,1.02969,-0.737355,-1.43355,0.582154,-0.0465283
7571.39,0.526197,0.00917666,5,31,0,-6954.7,0.68081,0.759466,0.696392,1.76186,-1.36077,-0.771673,0.420951,-1.03095,0.585836,-1.18444,-0.390664,-0.102522,-2.55088,-0.265715,0.440846,-1.37126,0.357678,0.53974,-1.24965,-1.83618,0.4077,-1.6737,-0.7222,-0.47634,0.989317,0.955516,-0.129005,-1.01868,0.34051,-0.880119,0.68081,0.759466,0.696392,1.76186,-1.36077,-0.771673,0.420951,-1.03095,0.585836,-1.18444,-0.390664,-0.102522,-7.55088,-0.265715,0.440846,-1.37126,0.357678,0.53974,-6.24965,-1.83618,0.4077,-1.6737,-0.7222,-0.47634,0.989317,0.955516,-0.129005,-1.01868,0.34051,-0.880119
7619.2,0.997478,0.00454128,3,7,0,-7561.14,0.71936,0.819343,0.694223,1.7915,-1.32292,-0.756189,0.403723,-0.980834,0.557047,-1.16755,-0.349088,-0.09216,-2.53134,-0.276891,0.449374,-1.39706,0.343786,0.534974,-1.24577,-1.86917,0.40639,-1.64886,-0.744863,-0.446197,0.962365,0.961565,-0.114754,-1.02092,0.345098,-0.871285,0.71936,0.819343,0.694223,1.7915,-1.32292,-0.756189,0.403723,-0.980834,0.557047,-1.16755,-0.349088,-0.09216,-7.53134,-0.276891,0.449374,-1.39706,0.343786,0.534974,-6.24577,-1.86917,0.40639,-1.64886,-0.744863,-0.446197,0.962365,0.961565,-0.114754,-1.02092,0.345098,-0.871285
7709.73,0.96367,0.00835768,4,15,0,-7600.43,0.829453,1.15468,0.701802,1.69074,-1.28656,-0.722826,0.312954,-0.934121,0.587831,-1.16929,-0.316118,-0.0844971,-2.56497,-0.193051,0.39949,-1.45939,0.343519,0.482862,-1.38582,-1.75919,0.542794,-1.5992,-0.827487,-0.393087,0.934611,0.986702,-0.112799,-0.992253,0.314445,-0.776323,0.829453,1.15468,0.701802,1.69074,-1.28656,-0.722826,0.312954,-0.934121,0.587831,-1.16929,-0.316118,-0.0844971,-7.56497,-0.193051,0.39949,-1.45939,0.343519,0.482862,-6.38582,-1.75919,0.542794,-1.5992,-0.827487,-0.393087,0.934611,0.986702,-0.112799,-0.992253,0.314445,-0.776323
7709.73,0.0692926,0.0138802,2,5,1,-7697.79,0.829453,1.15468,0.701802,1.69074,-1.28656,-0.722826,0.312954,-0.934121,0.587831,-1.16929,-0.316118,-0.0844971,-2.56497,-0.193051,0.39949,-1.45939,0.343519,0.482862,-1.38582,-1.75919,0.542794,-1.5992,-0.827487,-0.393087,0.934611,0.986702,-0.112799,-0.992253,0.314445,-0.776323,0.829453,1.15468,0.701802,1.69074,-1.28656,-0.722826,0.312954,-0.934121,0.587831,-1.16929,-0.316118,-0.0844971,-7.56497,-0.193051,0.39949,-1.45939,0.343519,0.482862,-6.38582,-1.75919,0.542794,-1.5992,-0.827487,-0.393087,0.934611,0.986702,-0.112799,-0.992253,0.314445,-0.776323
8054.91,0.998878,0.00201424,6,63,0,-7693.79,0.519629,1.61855,0.677032,1.24476,-1.21877,-0.765862,-0.0992015,-0.740465,0.687087,-1.15595,-0.362682,-0.0484574,-3.15763,0.124136,0.415623,-1.68483,0.458311,0.485085,-2.00419,-1.50144,0.810251,-1.59511,-0.921736,-0.243088,0.801775,0.817786,0.296915,-0.828085,0.0912713,-0.94754,0.519629,1.61855,0.677032,1.24476,-1.21877,-0.765862,-0.0992015,-0.740465,0.687087,-1.15595,-0.362682,-0.0484574,-8.15763,0.124136,0.415623,-1.68483,0.458311,0.485085,-7.00419,-1.50144,0.810251,-1.59511,-0.921736,-0.243088,0.801775,0.817786,0.296915,-0.828085,0.0912713,-0.94754
8438.79,0.987974,0.00369013,6,63,0,-8040.02,0.155263,1.62806,0.546841,1.04368,-0.594574,-0.522342,-0.486918,-0.584318,0.761566,-0.984879,-0.242445,-0.0800721,-3.48793,0.486429,0.665797,-1.78727,0.412241,0.389236,-2.76008,-1.34032,0.914588,-1.4016,-0.847675,-0.345875,0.669255,0.960073,0.399546,-0.783934,-0.0807607,-1.01303,0.155263,1.62806,0.546841,1.04368,-0.594574,-0.522342,-0.486918,-0.584318,0.761566,-0.984879,-0.242445,-0.0800721,-8.48793,0.486429,0.665797,-1.78727,0.412241,0.389236,-7.76008,-1.34032,0.914588,-1.4016,-0.847675,-0.345875,0.669255,0.960073,0.399546,-0.783934,-0.0807607,-1.01303
