# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=2
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
-112192,1,0.000488281,1,1,0,2.79083e+06,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,1.36352,-1.10397,0.117696,-1.91558,-0.627671,1.54145,1.58758,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,-3.63648,-1.10397,0.117696,-1.91558,-0.627671,1.54145,-3.41242,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805
-112192,0,14.3855,0,1,1,112206,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,1.36352,-1.10397,0.117696,-1.91558,-0.627671,1.54145,1.58758,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,-3.63648,-1.10397,0.117696,-1.91558,-0.627671,1.54145,-3.41242,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805
-112192,0,2.43117,0,1,1,112209,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,1.36352,-1.10397,0.117696,-1.91558,-0.627671,1.54145,1.58758,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,-3.63648,-1.10397,0.117696,-1.91558,-0.627671,1.54145,-3.41242,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805
-112192,0,0.239791,0,1,1,112210,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,1.36352,-1.10397,0.117696,-1.91558,-0.627671,1.54145,1.58758,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,-3.63648,-1.10397,0.117696,-1.91558,-0.627671,1.54145,-3.41242,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805
-112192,0,0.0186273,0,1,1,112206,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,1.36352,-1.10397,0.117696,-1.91558,-0.627671,1.54145,1.58758,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805,1.19847,1.01745,0.663642,1.99925,-0.410405,-0.014546,1.89641,-0.0554377,0.644632,-1.04722,1.99113,-0.141506,-3.63648,-1.10397,0.117696,-1.91558,-0.627671,1.54145,-3.41242,0.292792,0.967267,-1.82141,0.463014,1.14671,0.501405,0.552605,-1.12461,-1.49181,1.6227,1.12805
-38466.2,1,0.00130482,2,3,0,93355.9,1.20053,1.01732,0.662144,1.99967,-0.410205,-0.0155148,2.1162,-0.0937124,0.659507,-1.07106,2.01904,-0.0173029,1.23449,-1.08273,0.108501,-1.90752,-0.640962,1.47301,1.51515,0.305843,0.964504,-1.81382,0.454313,1.10337,0.503836,0.554618,-1.12445,-1.49067,1.62405,1.12519,1.20053,1.01732,0.662144,1.99967,-0.410205,-0.0155148,2.1162,-0.0937124,0.659507,-1.07106,2.01904,-0.0173029,-3.76551,-1.08273,0.108501,-1.90752,-0.640962,1.47301,-3.48485,0.305843,0.964504,-1.81382,0.454313,1.10337,0.503836,0.554618,-1.12445,-1.49067,1.62405,1.12519
-13247.5,1,0.00189104,2,3,0,32337,1.2038,1.02031,0.662016,1.9989,-0.409631,-0.0177221,2.30049,-0.124662,0.663591,-1.08752,2.04059,0.0829357,1.13003,-1.06697,0.104034,-1.90004,-0.650314,1.41501,1.45661,0.316893,0.964128,-1.80891,0.449066,1.06855,0.506438,0.554755,-1.12407,-1.48725,1.62402,1.1258,1.2038,1.02031,0.662016,1.9989,-0.409631,-0.0177221,2.30049,-0.124662,0.663591,-1.08752,2.04059,0.0829357,-3.86997,-1.06697,0.104034,-1.90004,-0.650314,1.41501,-3.54339,0.316893,0.964128,-1.80891,0.449066,1.06855,0.506438,0.554755,-1.12407,-1.48725,1.62402,1.1258
-1542.55,1,0.00305706,2,3,0,9889.85,1.20639,1.0189,0.665777,1.99999,-0.409234,-0.0169074,2.51412,-0.157991,0.663808,-1.10501,2.05768,0.194816,1.0067,-1.04674,0.0993703,-1.88819,-0.655884,1.35171,1.38858,0.325525,0.967091,-1.79957,0.444566,1.02668,0.513461,0.558283,-1.12775,-1.48474,1.62209,1.12532,1.20639,1.0189,0.665777,1.99999,-0.409234,-0.0169074,2.51412,-0.157991,0.663808,-1.10501,2.05768,0.194816,-3.9933,-1.04674,0.0993703,-1.88819,-0.655884,1.35171,-3.61142,0.325525,0.967091,-1.79957,0.444566,1.02668,0.513461,0.558283,-1.12775,-1.48474,1.62209,1.12532
4692.78,1,0.00530085,5,31,0,-314.404,1.20262,1.01456,0.640865,2.0432,-0.455046,0.0305834,2.60978,-0.628753,0.594541,-1.42634,0.722082,0.737795,0.756146,-0.752223,0.142313,-1.62781,0.035345,0.989398,1.34818,0.34691,0.914798,-1.68664,0.879309,0.806728,0.758713,0.678296,-1.09653,-1.43478,1.68966,1.18199,1.20262,1.01456,0.640865,2.0432,-0.455046,0.0305834,2.60978,-0.628753,0.594541,-1.42634,0.722082,0.737795,-4.24385,-0.752223,0.142313,-1.62781,0.035345,0.989398,-3.65182,0.34691,0.914798,-1.68664,0.879309,0.806728,0.758713,0.678296,-1.09653,-1.43478,1.68966,1.18199
5060.05,0.666667,0.00961161,1,3,1,-4725.34,1.20604,1.01905,0.638181,2.04781,-0.464033,0.0230589,2.85893,-0.52171,0.603142,-1.43242,0.793768,0.823362,0.687252,-0.731884,0.144834,-1.63925,0.0230494,0.97196,1.17293,0.241436,0.896,-1.6911,0.81627,0.755394,0.71659,0.635066,-1.122,-1.45117,1.65493,1.14504,1.20604,1.01905,0.638181,2.04781,-0.464033,0.0230589,2.85893,-0.52171,0.603142,-1.43242,0.793768,0.823362,-4.31275,-0.731884,0.144834,-1.63925,0.0230494,0.97196,-3.82707,0.241436,0.896,-1.6911,0.81627,0.755394,0.71659,0.635066,-1.122,-1.45117,1.65493,1.14504
