# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=5
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
-35124.7,1,0.000976562,3,7,0,263225,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,1.84366,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-0.0395737,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,-3.15634,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-5.03957,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375
-35124.7,0,14.3855,0,1,1,35133,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,1.84366,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-0.0395737,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,-3.15634,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-5.03957,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375
-35124.7,0,2.43117,0,1,1,35148.9,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,1.84366,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-0.0395737,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,-3.15634,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-5.03957,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375
-35124.7,0,0.239791,0,1,1,35144.9,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,1.84366,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-0.0395737,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,-3.15634,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-5.03957,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375
-35124.7,0,0.0186273,0,1,1,35136.2,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,1.84366,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-0.0395737,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375,1.76832,0.103225,-0.880734,-1.55989,0.709615,-0.53509,1.57828,-1.52077,-0.507138,-1.5157,1.63061,-1.55454,-3.15634,-1.26292,-1.98784,-0.321018,-1.56524,-1.26271,-5.03957,0.0419881,0.43035,-1.93014,0.978006,-0.565093,-1.23702,0.862473,-1.48635,0.1963,-0.748674,-0.738375
-21319.6,1,0.00130482,1,1,0,33004.5,1.76821,0.105386,-0.880392,-1.55867,0.708553,-0.531257,1.66062,-1.50157,-0.481574,-1.50038,1.649,-1.51423,1.81955,-1.26752,-1.99727,-0.322093,-1.56977,-1.27149,-0.084786,0.0296315,0.416688,-1.93875,0.967755,-0.588059,-1.22527,0.860703,-1.49148,0.197333,-0.746593,-0.734285,1.76821,0.105386,-0.880392,-1.55867,0.708553,-0.531257,1.66062,-1.50157,-0.481574,-1.50038,1.649,-1.51423,-3.18045,-1.26752,-1.99727,-0.322093,-1.56977,-1.27149,-5.08479,0.0296315,0.416688,-1.93875,0.967755,-0.588059,-1.22527,0.860703,-1.49148,0.197333,-0.746593,-0.734285
-8990.37,1,0.00189104,2,3,0,18875.3,1.76934,0.109964,-0.877947,-1.55505,0.711169,-0.525957,1.78101,-1.4704,-0.448138,-1.47916,1.67343,-1.45826,1.78469,-1.27463,-2.00797,-0.322306,-1.57588,-1.28153,-0.151665,0.0126188,0.403037,-1.95055,0.951684,-0.620151,-1.20509,0.859192,-1.50107,0.196351,-0.742829,-0.728308,1.76934,0.109964,-0.877947,-1.55505,0.711169,-0.525957,1.78101,-1.4704,-0.448138,-1.47916,1.67343,-1.45826,-3.21531,-1.27463,-2.00797,-0.322306,-1.57588,-1.28153,-5.15167,0.0126188,0.403037,-1.95055,0.951684,-0.620151,-1.20509,0.859192,-1.50107,0.196351,-0.742829,-0.728308
-389.855,1,0.00305706,2,3,0,6686.15,1.77001,0.108701,-0.876181,-1.55384,0.715007,-0.522763,1.95814,-1.43085,-0.40162,-1.4524,1.69724,-1.38074,1.72471,-1.28103,-2.02216,-0.318723,-1.57896,-1.29499,-0.246579,-0.0145099,0.382476,-1.96628,0.932731,-0.665214,-1.17573,0.859299,-1.51671,0.196372,-0.738812,-0.717903,1.77001,0.108701,-0.876181,-1.55384,0.715007,-0.522763,1.95814,-1.43085,-0.40162,-1.4524,1.69724,-1.38074,-3.27529,-1.28103,-2.02216,-0.318723,-1.57896,-1.29499,-5.24658,-0.0145099,0.382476,-1.96628,0.932731,-0.665214,-1.17573,0.859299,-1.51671,0.196372,-0.738812,-0.717903
5243.13,1,0.00530085,3,7,0,-902.257,1.72991,0.207984,-0.835294,-1.52605,0.765485,-0.492973,2.11851,-0.828829,0.00296729,-1.05979,0.641824,-1.23258,1.68523,-1.27121,-2.15371,-0.365341,-1.09055,-1.21657,-0.469498,-0.45854,0.345604,-2.12073,1.3288,-0.826062,-0.52235,0.877033,-1.87083,0.179893,-0.779226,-0.490949,1.72991,0.207984,-0.835294,-1.52605,0.765485,-0.492973,2.11851,-0.828829,0.00296729,-1.05979,0.641824,-1.23258,-3.31477,-1.27121,-2.15371,-0.365341,-1.09055,-1.21657,-5.4695,-0.45854,0.345604,-2.12073,1.3288,-0.826062,-0.52235,0.877033,-1.87083,0.179893,-0.779226,-0.490949
5557.79,0.666667,0.00961161,1,3,1,-5282.49,1.72231,0.219655,-0.830464,-1.52868,0.769916,-0.49633,2.35144,-0.930473,-0.0683441,-1.08408,0.711864,-1.13364,1.58818,-1.23436,-2.14543,-0.36278,-1.11592,-1.23994,-0.643543,-0.435486,0.374446,-2.09133,1.2934,-0.876324,-0.467646,0.83923,-1.87931,0.191048,-0.737373,-0.496759,1.72231,0.219655,-0.830464,-1.52868,0.769916,-0.49633,2.35144,-0.930473,-0.0683441,-1.08408,0.711864,-1.13364,-3.41182,-1.23436,-2.14543,-0.36278,-1.11592,-1.23994,-5.64354,-0.435486,0.374446,-2.09133,1.2934,-0.876324,-0.467646,0.83923,-1.87931,0.191048,-0.737373,-0.496759
