# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=5
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_5.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
-1.40442e+07,1,6.10352e-05,1,1,0,1.29461e+08,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,1.00859,-1.64511,-0.729579,-1.95877,1.56809,-1.79138,1.47864,-1.16318,-1.99362,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,-1.99141,-1.64511,-3.72958,-4.95877,1.56809,-4.79138,1.47864,-1.16318,-1.99362
-1.40442e+07,0,14.3855,0,1,1,1.40442e+07,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,1.00859,-1.64511,-0.729579,-1.95877,1.56809,-1.79138,1.47864,-1.16318,-1.99362,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,-1.99141,-1.64511,-3.72958,-4.95877,1.56809,-4.79138,1.47864,-1.16318,-1.99362
-1.40442e+07,0,2.43117,0,1,1,1.40443e+07,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,1.00859,-1.64511,-0.729579,-1.95877,1.56809,-1.79138,1.47864,-1.16318,-1.99362,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,-1.99141,-1.64511,-3.72958,-4.95877,1.56809,-4.79138,1.47864,-1.16318,-1.99362
-1.40442e+07,0,0.239791,0,1,1,1.40442e+07,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,1.00859,-1.64511,-0.729579,-1.95877,1.56809,-1.79138,1.47864,-1.16318,-1.99362,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,-1.99141,-1.64511,-3.72958,-4.95877,1.56809,-4.79138,1.47864,-1.16318,-1.99362
-1.40442e+07,0,0.0186273,0,1,1,1.40442e+07,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,1.00859,-1.64511,-0.729579,-1.95877,1.56809,-1.79138,1.47864,-1.16318,-1.99362,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,-1.99141,-1.64511,-3.72958,-4.95877,1.56809,-4.79138,1.47864,-1.16318,-1.99362
-1.40442e+07,0,0.00130482,0,1,1,1.40442e+07,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,1.00859,-1.64511,-0.729579,-1.95877,1.56809,-1.79138,1.47864,-1.16318,-1.99362,1.75937,0.0963167,-0.890179,-0.966754,0.618335,-0.501927,-1.99141,-1.64511,-3.72958,-4.95877,1.56809,-4.79138,1.47864,-1.16318,-1.99362
-3.25499e+06,1,8.85015e-05,2,3,0,1.31249e+07,1.75897,0.0965513,-0.890395,-0.605549,0.58658,-0.478832,0.909282,-1.63828,-0.735043,-2.18823,1.58668,-1.80523,1.21581,-1.13116,-2.00903,1.75897,0.0965513,-0.890395,-0.605549,0.58658,-0.478832,-2.09072,-1.63828,-3.73504,-5.18823,1.58668,-4.80523,1.21581,-1.13116,-2.00903
-1.42345e+06,1,0.000135987,8,255,0,3.13867e+06,1.75884,0.097601,-0.89028,-0.387453,0.570473,-0.463686,0.857254,-1.63406,-0.738465,-2.32804,1.59423,-1.81392,1.07636,-1.11764,-2.01668,1.75884,0.097601,-0.89028,-0.387453,0.570473,-0.463686,-2.14275,-1.63406,-3.73846,-5.32804,1.59423,-4.81392,1.07636,-1.11764,-2.01668
-1.08327e+06,1,0.000228818,1,1,0,1.38354e+06,1.75884,0.0979401,-0.890488,-0.311604,0.565221,-0.458022,0.839683,-1.63271,-0.739779,-2.37548,1.59639,-1.81687,1.03377,-1.11417,-2.01841,1.75884,0.0979401,-0.890488,-0.311604,0.565221,-0.458022,-2.16032,-1.63271,-3.73978,-5.37548,1.59639,-4.81687,1.03377,-1.11417,-2.01841
-567884,1,0.000408639,1,1,0,972579,1.7581,0.0988335,-0.891539,-0.127322,0.55233,-0.443876,0.796229,-1.62938,-0.742701,-2.48995,1.60085,-1.82445,0.935983,-1.1054,-2.02283,1.7581,0.0988335,-0.891539,-0.127322,0.55233,-0.443876,-2.20377,-1.62938,-3.7427,-5.48995,1.60085,-4.82445,0.935983,-1.1054,-2.02283
