# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=1
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
-252529,1,0.000488281,3,7,0,1.69187e+06,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-0.754325,-1.51979,1.5611,-1.63997,0.431634,-0.559505,1.64167,0.475806,0.48108,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-3.75432,-1.51979,-1.4389,-4.63997,0.431634,-3.55951,1.64167,0.475806,0.48108
-252529,0,14.3855,0,1,1,252536,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-0.754325,-1.51979,1.5611,-1.63997,0.431634,-0.559505,1.64167,0.475806,0.48108,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-3.75432,-1.51979,-1.4389,-4.63997,0.431634,-3.55951,1.64167,0.475806,0.48108
-252529,0,2.43117,0,1,1,252533,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-0.754325,-1.51979,1.5611,-1.63997,0.431634,-0.559505,1.64167,0.475806,0.48108,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-3.75432,-1.51979,-1.4389,-4.63997,0.431634,-3.55951,1.64167,0.475806,0.48108
-252529,0,0.239791,0,1,1,252533,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-0.754325,-1.51979,1.5611,-1.63997,0.431634,-0.559505,1.64167,0.475806,0.48108,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-3.75432,-1.51979,-1.4389,-4.63997,0.431634,-3.55951,1.64167,0.475806,0.48108
-252529,0,0.0186273,0,1,1,252536,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-0.754325,-1.51979,1.5611,-1.63997,0.431634,-0.559505,1.64167,0.475806,0.48108,-0.649136,-1.34794,-1.80495,0.743571,0.220902,-0.98903,-3.75432,-1.51979,-1.4389,-4.63997,0.431634,-3.55951,1.64167,0.475806,0.48108
-39823.2,1,0.00130482,1,1,0,193903,-0.649659,-1.34847,-1.80325,1.20993,0.0997416,-0.8987,-0.963688,-1.48654,1.53162,-1.85781,0.506458,-0.606343,1.49479,0.552041,0.434688,-0.649659,-1.34847,-1.80325,1.20993,0.0997416,-0.8987,-3.96369,-1.48654,-1.46838,-4.85781,0.506458,-3.60634,1.49479,0.552041,0.434688
-15816.9,1,0.00189104,2,3,0,34484.9,-0.647868,-1.34933,-1.80452,1.40353,0.062973,-0.870242,-1.05177,-1.47891,1.52312,-1.94836,0.530218,-0.616831,1.44263,0.571762,0.422395,-0.647868,-1.34933,-1.80452,1.40353,0.062973,-0.870242,-4.05177,-1.47891,-1.47688,-4.94836,0.530218,-3.61683,1.44263,0.571762,0.422395
-2208.27,1,0.00305706,2,3,0,12061.3,-0.649579,-1.34866,-1.80471,1.65466,0.0216582,-0.844177,-1.15854,-1.46564,1.5128,-2.06968,0.560938,-0.634244,1.37062,0.597911,0.409242,-0.649579,-1.34866,-1.80471,1.65466,0.0216582,-0.844177,-4.15854,-1.46564,-1.4872,-5.06968,0.560938,-3.63424,1.37062,0.597911,0.409242
2122.66,1,0.00530085,1,1,0,654.396,-0.647572,-1.34628,-1.80232,1.92184,-0.00648889,-0.828359,-1.27485,-1.45459,1.50652,-2.20499,0.592316,-0.644113,1.29868,0.615257,0.393362,-0.647572,-1.34628,-1.80232,1.92184,-0.00648889,-0.828359,-4.27485,-1.45459,-1.49348,-5.20499,0.592316,-3.64411,1.29868,0.615257,0.393362
3303.54,1,0.00961161,2,3,0,-2262.04,-0.652241,-1.35731,-1.79164,2.05282,-0.159814,-1.15209,-1.42519,-1.35232,1.57099,-2.32732,0.667331,-0.519829,1.09326,0.64593,0.385886,-0.652241,-1.35731,-1.79164,2.05282,-0.159814,-1.15209,-4.42519,-1.35232,-1.42901,-5.32732,0.667331,-3.51983,1.09326,0.64593,0.385886
