# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=2
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
-5152.3,1,0.00195312,5,31,0,180304,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,0.742048,-0.0372726,0.87095,-1.39762,1.84355,-0.684633,1.45313,-1.16466,-0.084708,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,-2.25795,-0.0372726,-2.12905,-4.39762,1.84355,-3.68463,1.45313,-1.16466,-0.084708
-5152.3,0,14.3855,0,1,1,5163.23,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,0.742048,-0.0372726,0.87095,-1.39762,1.84355,-0.684633,1.45313,-1.16466,-0.084708,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,-2.25795,-0.0372726,-2.12905,-4.39762,1.84355,-3.68463,1.45313,-1.16466,-0.084708
-5152.3,0,2.43117,0,1,1,5157.82,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,0.742048,-0.0372726,0.87095,-1.39762,1.84355,-0.684633,1.45313,-1.16466,-0.084708,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,-2.25795,-0.0372726,-2.12905,-4.39762,1.84355,-3.68463,1.45313,-1.16466,-0.084708
-5152.3,0,0.239791,0,1,1,5159.38,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,0.742048,-0.0372726,0.87095,-1.39762,1.84355,-0.684633,1.45313,-1.16466,-0.084708,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,-2.25795,-0.0372726,-2.12905,-4.39762,1.84355,-3.68463,1.45313,-1.16466,-0.084708
-5152.3,0,0.0186273,0,1,1,5158.58,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,0.742048,-0.0372726,0.87095,-1.39762,1.84355,-0.684633,1.45313,-1.16466,-0.084708,1.19971,1.01829,0.660712,2.86491,-0.281574,0.0917605,-2.25795,-0.0372726,-2.12905,-4.39762,1.84355,-3.68463,1.45313,-1.16466,-0.084708
-1784.67,1,0.00130482,3,7,0,5082.2,1.19567,1.01957,0.666389,3.05546,-0.242254,0.0818138,0.646756,-0.0529905,0.863646,-1.4972,1.82285,-0.674306,1.37135,-1.17808,-0.0739385,1.19567,1.01957,0.666389,3.05546,-0.242254,0.0818138,-2.35324,-0.0529905,-2.13635,-4.4972,1.82285,-3.67431,1.37135,-1.17808,-0.0739385
-1509.6,1,0.00189104,2,3,0,1786.48,1.19909,1.02566,0.663431,3.08717,-0.2281,0.0700874,0.628957,-0.0597218,0.868118,-1.51806,1.82204,-0.664334,1.36116,-1.18288,-0.0636022,1.19909,1.02566,0.663431,3.08717,-0.2281,0.0700874,-2.37104,-0.0597218,-2.13188,-4.51806,1.82204,-3.66433,1.36116,-1.18288,-0.0636022
-1132.31,1,0.00305706,3,7,0,1501.35,1.18937,1.01993,0.664732,3.13341,-0.204057,0.0307322,0.601584,-0.0693602,0.880874,-1.53181,1.8081,-0.643474,1.32424,-1.20025,-0.0454334,1.18937,1.01993,0.664732,3.13341,-0.204057,0.0307322,-2.39842,-0.0693602,-2.11913,-4.53181,1.8081,-3.64347,1.32424,-1.20025,-0.0454334
-915.326,1,0.00530085,2,3,0,1137.99,1.18564,1.0226,0.667027,3.14296,-0.189621,0.000244684,0.572289,-0.07434,0.890975,-1.55192,1.79981,-0.621929,1.30518,-1.21591,-0.0192232,1.18564,1.0226,0.667027,3.14296,-0.189621,0.000244684,-2.42771,-0.07434,-2.10902,-4.55192,1.79981,-3.62193,1.30518,-1.21591,-0.0192232
3163.54,1,0.00961161,3,7,0,778.359,1.14803,1.02582,0.7106,3.16242,0.414243,-1.44921,0.0447074,-0.234611,1.24175,-1.57003,1.58693,0.184837,0.613129,-1.88132,0.454656,1.14803,1.02582,0.7106,3.16242,0.414243,-1.44921,-2.95529,-0.234611,-1.75825,-4.57003,1.58693,-2.81516,0.613129,-1.88132,0.454656
