# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=4
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
-2.79079e+07,1,6.10352e-05,1,1,0,1.08865e+08,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,0.7473,-1.63843,1.93507,-0.309713,-0.93041,-0.827733,-0.133989,-0.94954,-1.41464,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,-2.2527,-1.63843,-1.06493,-3.30971,-0.93041,-3.82773,-0.133989,-0.94954,-1.41464
-2.79079e+07,0,14.3855,0,1,1,2.7908e+07,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,0.7473,-1.63843,1.93507,-0.309713,-0.93041,-0.827733,-0.133989,-0.94954,-1.41464,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,-2.2527,-1.63843,-1.06493,-3.30971,-0.93041,-3.82773,-0.133989,-0.94954,-1.41464
-2.79079e+07,0,2.43117,0,1,1,2.7908e+07,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,0.7473,-1.63843,1.93507,-0.309713,-0.93041,-0.827733,-0.133989,-0.94954,-1.41464,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,-2.2527,-1.63843,-1.06493,-3.30971,-0.93041,-3.82773,-0.133989,-0.94954,-1.41464
-2.79079e+07,0,0.239791,0,1,1,2.79079e+07,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,0.7473,-1.63843,1.93507,-0.309713,-0.93041,-0.827733,-0.133989,-0.94954,-1.41464,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,-2.2527,-1.63843,-1.06493,-3.30971,-0.93041,-3.82773,-0.133989,-0.94954,-1.41464
-2.79079e+07,0,0.0186273,0,1,1,2.7908e+07,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,0.7473,-1.63843,1.93507,-0.309713,-0.93041,-0.827733,-0.133989,-0.94954,-1.41464,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,-2.2527,-1.63843,-1.06493,-3.30971,-0.93041,-3.82773,-0.133989,-0.94954,-1.41464
-2.79079e+07,0,0.00130482,0,1,1,2.79079e+07,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,0.7473,-1.63843,1.93507,-0.309713,-0.93041,-0.827733,-0.133989,-0.94954,-1.41464,0.376072,0.902085,-1.55766,-0.549385,-0.682998,-0.269627,-2.2527,-1.63843,-1.06493,-3.30971,-0.93041,-3.82773,-0.133989,-0.94954,-1.41464
-1.41652e+07,1,8.85015e-05,3,7,0,2.49267e+07,0.376004,0.902042,-1.55758,-0.330354,-0.708108,-0.242658,0.682109,-1.64075,1.9295,-0.447063,-0.906509,-0.847043,-0.109686,-0.954528,-1.41033,0.376004,0.902042,-1.55758,-0.330354,-0.708108,-0.242658,-2.31789,-1.64075,-1.0705,-3.44706,-0.906509,-3.84704,-0.109686,-0.954528,-1.41033
-6.24928e+06,1,0.000135987,2,3,0,1.22734e+07,0.375903,0.902057,-1.55757,-0.0676943,-0.733917,-0.211629,0.607798,-1.64459,1.92298,-0.616171,-0.880792,-0.869209,-0.0799742,-0.958917,-1.40517,0.375903,0.902057,-1.55757,-0.0676943,-0.733917,-0.211629,-2.3922,-1.64459,-1.07702,-3.61617,-0.880792,-3.86921,-0.0799742,-0.958917,-1.40517
-2.21431e+06,1,0.000228818,3,7,0,5.18873e+06,0.375924,0.90209,-1.5581,0.261171,-0.760209,-0.173474,0.521514,-1.65101,1.91495,-0.834479,-0.852493,-0.896204,-0.0416866,-0.962487,-1.399,0.375924,0.90209,-1.5581,0.261171,-0.760209,-0.173474,-2.47849,-1.65101,-1.08505,-3.83448,-0.852493,-3.8962,-0.0416866,-0.962487,-1.399
-658146,1,0.000408639,3,7,0,1.78838e+06,0.376487,0.902813,-1.55799,0.6359,-0.783557,-0.131414,0.432416,-1.65729,1.90693,-1.09278,-0.826076,-0.925291,0.00412379,-0.963373,-1.39254,0.376487,0.902813,-1.55799,0.6359,-0.783557,-0.131414,-2.56758,-1.65729,-1.09307,-4.09278,-0.826076,-3.92529,0.00412379,-0.963373,-1.39254
-172356,1,0.000758439,1,1,0,522879,0.375154,0.902855,-1.55914,1.02806,-0.800545,-0.0890925,0.350043,-1.6645,1.89657,-1.37366,-0.804227,-0.954846,0.0543033,-0.960384,-1.38541,0.375154,0.902855,-1.55914,1.02806,-0.800545,-0.0890925,-2.64996,-1.6645,-1.10343,-4.37366,-0.804227,-3.95485,0.0543033,-0.960384,-1.38541
-37272.2,1,0.00144197,3,7,0,134104,0.376952,0.902204,-1.55931,1.42478,-0.809831,-0.0493698,0.275224,-1.67044,1.88595,-1.66543,-0.788743,-0.980285,0.106611,-0.955089,-1.37661,0.376952,0.902204,-1.55931,1.42478,-0.809831,-0.0493698,-2.72478,-1.67044,-1.11405,-4.66543,-0.788743,-3.98029,0.106611,-0.955089,-1.37661
-4662.95,1,0.00278004,1,1,0,27510.3,0.377205,0.902762,-1.56355,1.80563,-0.81453,-0.0107257,0.202376,-1.67967,1.87674,-1.94823,-0.774258,-1.00367,0.157628,-0.950303,-1.36604,0.377205,0.902762,-1.56355,1.80563,-0.81453,-0.0107257,-2.79762,-1.67967,-1.12326,-4.94823,-0.774258,-4.00367,0.157628,-0.950303,-1.36604
786.087,1,0.00539629,2,3,0,2705.75,0.375985,0.897079,-1.57238,2.12629,-0.811853,-0.00517936,0.130167,-1.6797,1.86727,-2.18593,-0.773494,-1.00941,0.208383,-0.955803,-1.35631,0.375985,0.897079,-1.57238,2.12629,-0.811853,-0.00517936,-2.86983,-1.6797,-1.13273,-5.18593,-0.773494,-4.00941,0.208383,-0.955803,-1.35631
