# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=4
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
2435.25,0.857143,0.0104922,3,7,0,-921.078,0.391331,0.880425,-1.54052,2.15515,-0.817785,-0.465279,0.0249031,-1.65064,1.89697,-2.38217,-0.763761,-0.753559,0.243245,-1.2436,-1.21363,0.391331,0.880425,-1.54052,2.15515,-0.817785,-0.465279,-2.9751,-1.65064,-1.10303,-5.38217,-0.763761,-3.75356,0.243245,-1.2436,-1.21363
3363.21,0.571429,0.0130781,2,7,1,-2447.1,0.357735,0.898047,-1.53451,2.13985,-0.669966,-0.956149,-0.139153,-1.67952,1.90536,-2.48887,-0.752364,-0.469867,0.224845,-1.41539,-1.23054,0.357735,0.898047,-1.53451,2.13985,-0.669966,-0.956149,-3.13915,-1.67952,-1.09464,-5.48887,-0.752364,-3.46987,0.224845,-1.41539,-1.23054
4124.42,1,0.0067777,4,15,0,-3374.61,0.409666,0.904358,-1.52398,2.24047,-0.538878,-1.43766,-0.500942,-1.8643,1.94751,-2.5408,-0.512201,-0.0562274,0.307774,-1.62666,-0.99305,0.409666,0.904358,-1.52398,2.24047,-0.538878,-1.43766,-3.50094,-1.8643,-1.05249,-5.5408,-0.512201,-3.05623,0.307774,-1.62666,-0.99305
4489.35,0.433105,0.0131769,2,7,1,-4120.89,0.428521,0.961021,-1.43389,2.21191,-0.619547,-1.56028,-0.776325,-2.03431,1.7903,-2.50408,-0.296845,0.265733,0.117071,-1.59635,-0.76041,0.428521,0.961021,-1.43389,2.21191,-0.619547,-1.56028,-3.77632,-2.03431,-1.2097,-5.50408,-0.296845,-2.73427,0.117071,-1.59635,-0.76041
4584.89,0.966798,0.00456336,4,15,0,-4482.81,0.452025,1.00352,-1.42859,2.19038,-0.623629,-1.58996,-0.835019,-2.09145,1.72112,-2.53987,-0.186873,0.363644,0.159106,-1.6069,-0.719585,0.452025,1.00352,-1.42859,2.19038,-0.623629,-1.58996,-3.83502,-2.09145,-1.27888,-5.53987,-0.186873,-2.63636,0.159106,-1.6069,-0.719585
4784.91,0.915429,0.00801415,3,7,0,-4578.81,0.534411,1.0651,-1.46603,2.08625,-0.586745,-1.72683,-1.07928,-2.27385,1.52389,-2.64103,0.0944102,0.566237,0.124261,-1.52885,-0.621656,0.534411,1.0651,-1.46603,2.08625,-0.586745,-1.72683,-4.07928,-2.27385,-1.47611,-5.64103,0.0944102,-2.43376,0.124261,-1.52885,-0.621656
4784.91,1.16783e-07,0.0119887,2,3,0,-4775.07,0.534411,1.0651,-1.46603,2.08625,-0.586745,-1.72683,-1.07928,-2.27385,1.52389,-2.64103,0.0944102,0.566237,0.124261,-1.52885,-0.621656,0.534411,1.0651,-1.46603,2.08625,-0.586745,-1.72683,-4.07928,-2.27385,-1.47611,-5.64103,0.0944102,-2.43376,0.124261,-1.52885,-0.621656
4791.61,0.998817,0.00119124,5,31,0,-4780.39,0.533683,1.07845,-1.4803,2.07258,-0.609902,-1.72436,-1.08646,-2.2557,1.50699,-2.64989,0.111586,0.562249,0.135101,-1.52042,-0.613045,0.533683,1.07845,-1.4803,2.07258,-0.609902,-1.72436,-4.08646,-2.2557,-1.49301,-5.64989,0.111586,-2.43775,0.135101,-1.52042,-0.613045
4812.8,0.995012,0.00230297,5,31,0,-4784.68,0.570108,1.10075,-1.46434,2.04852,-0.581689,-1.72409,-1.15276,-2.26916,1.51294,-2.66666,0.172314,0.607681,0.169306,-1.50683,-0.60203,0.570108,1.10075,-1.46434,2.04852,-0.581689,-1.72409,-4.15276,-2.26916,-1.48706,-5.66666,0.172314,-2.39232,0.169306,-1.50683,-0.60203
4834.19,0.97273,0.0043592,4,15,0,-4807.7,0.583351,1.12296,-1.46987,1.99998,-0.578181,-1.67704,-1.16401,-2.27188,1.49186,-2.72099,0.194917,0.626882,0.167671,-1.4774,-0.600032,0.583351,1.12296,-1.46987,1.99998,-0.578181,-1.67704,-4.16401,-2.27188,-1.50814,-5.72099,0.194917,-2.37312,0.167671,-1.4774,-0.600032
5009.24,0.975022,0.00766075,5,31,0,-4826.65,0.879189,1.42227,-1.21762,1.62815,-0.474582,-1.51561,-1.4191,-2.12046,1.03688,-3.17522,0.318253,0.910308,0.0247727,-1.4601,-0.251321,0.879189,1.42227,-1.21762,1.62815,-0.474582,-1.51561,-4.4191,-2.12046,-1.96312,-6.17522,0.318253,-2.08969,0.0247727,-1.4601,-0.251321
5009.24,0.0148619,0.0134293,2,5,1,-5003.2,0.879189,1.42227,-1.21762,1.62815,-0.474582,-1.51561,-1.4191,-2.12046,1.03688,-3.17522,0.318253,0.910308,0.0247727,-1.4601,-0.251321,0.879189,1.42227,-1.21762,1.62815,-0.474582,-1.51561,-4.4191,-2.12046,-1.96312,-6.17522,0.318253,-2.08969,0.0247727,-1.4601,-0.251321
5013.44,0.997991,0.00153676,6,63,0,-4999.13,0.876361,1.42655,-1.20978,1.61168,-0.455686,-1.49564,-1.41195,-2.13046,1.06832,-3.20048,0.349587,0.925815,0.0420841,-1.43622,-0.258726,0.876361,1.42655,-1.20978,1.61168,-0.455686,-1.49564,-4.41195,-2.13046,-1.93168,-6.20048,0.349587,-2.07419,0.0420841,-1.43622,-0.258726
5042.51,0.995178,0.00288739,5,31,0,-5007.62,0.925249,1.40609,-1.2587,1.58251,-0.450526,-1.51065,-1.48902,-2.03242,1.11426,-3.23906,0.334684,0.928853,0.0777955,-1.38327,-0.246631,0.925249,1.40609,-1.2587,1.58251,-0.450526,-1.51065,-4.48902,-2.03242,-1.88574,-6.23906,0.334684,-2.07115,0.0777955,-1.38327,-0.246631
5057.78,0.884362,0.00532694,4,15,0,-5030.25,0.975011,1.43802,-1.28938,1.55355,-0.445186,-1.48819,-1.53809,-1.98133,1.11231,-3.26539,0.355561,0.953786,0.0871208,-1.34978,-0.259363,0.975011,1.43802,-1.28938,1.55355,-0.445186,-1.48819,-4.53809,-1.98133,-1.88769,-6.26539,0.355561,-2.04621,0.0871208,-1.34978,-0.259363
5064.59,0.852009,0.00716371,3,7,0,-5052.48,0.975741,1.44218,-1.27847,1.54077,-0.420685,-1.49534,-1.55502,-1.97339,1.1206,-3.27911,0.326028,0.966735,0.101241,-1.33049,-0.271542,0.975741,1.44218,-1.27847,1.54077,-0.420685,-1.49534,-4.55502,-1.97339,-1.8794,-6.27911,0.326028,-2.03327,0.101241,-1.33049,-0.271542
5137.91,0.866237,0.00877402,4,15,0,-5055.48,1.05449,1.46826,-1.15088,1.32393,-0.406331,-1.35973,-1.80498,-1.82454,1.01716,-3.50242,0.275034,1.00266,0.133042,-1.13762,-0.0984588,1.05449,1.46826,-1.15088,1.32393,-0.406331,-1.35973,-4.80498,-1.82454,-1.98284,-6.50242,0.275034,-1.99734,0.133042,-1.13762,-0.0984588
5277.06,0.943774,0.0111324,4,15,0,-5132.49,0.870136,1.44319,-1.31048,1.03723,-0.198345,-1.08565,-2.20664,-1.38902,1.19168,-3.8431,0.596805,1.47211,0.23734,-0.952158,-0.012294,0.870136,1.44319,-1.31048,1.03723,-0.198345,-1.08565,-5.20664,-1.38902,-1.80832,-6.8431,0.596805,-1.52789,0.23734,-0.952158,-0.012294
5277.06,0.0093643,0.0173369,2,4,1,-5268.43,0.870136,1.44319,-1.31048,1.03723,-0.198345,-1.08565,-2.20664,-1.38902,1.19168,-3.8431,0.596805,1.47211,0.23734,-0.952158,-0.012294,0.870136,1.44319,-1.31048,1.03723,-0.198345,-1.08565,-5.20664,-1.38902,-1.80832,-6.8431,0.596805,-1.52789,0.23734,-0.952158,-0.012294
5302.47,0.998798,0.00220762,6,63,0,-5269.39,0.851295,1.45644,-1.28439,0.955331,-0.207901,-1.05868,-2.34585,-1.35052,1.23287,-3.94513,0.504852,1.54292,0.207891,-0.876772,0.0663542,0.851295,1.45644,-1.28439,0.955331,-0.207901,-1.05868,-5.34585,-1.35052,-1.76713,-6.94513,0.504852,-1.45708,0.207891,-0.876772,0.0663542
5421.01,0.988808,0.00400051,6,63,0,-5294.22,0.647958,1.47991,-0.976026,0.745251,-0.118675,-0.91176,-2.76563,-1.21359,1.50958,-4.13166,0.737228,1.71667,0.288235,-0.394336,0.616017,0.647958,1.47991,-0.976026,0.745251,-0.118675,-0.91176,-5.76563,-1.21359,-1.49042,-7.13166,0.737228,-1.28333,0.288235,-0.394336,0.616017
5439.73,0.870643,0.00699395,5,31,0,-5411.51,0.774041,1.43971,-0.987611,0.677627,-0.0505396,-0.8649,-2.85394,-1.15841,1.55174,-4.20562,0.872287,1.78474,0.275972,-0.383811,0.673524,0.774041,1.43971,-0.987611,0.677627,-0.0505396,-0.8649,-5.85394,-1.15841,-1.44826,-7.20562,0.872287,-1.21526,0.275972,-0.383811,0.673524
5531.09,0.930001,0.00890359,5,31,0,-5433.97,0.382642,0.954909,-0.588293,0.275489,0.102724,-0.271631,-3.48819,-0.777023,2.24304,-4.67121,1.16144,2.57407,0.357136,0.244738,1.3679,0.382642,0.954909,-0.588293,0.275489,0.102724,-0.271631,-6.48819,-0.777023,-0.756958,-7.67121,1.16144,-0.425925,0.357136,0.244738,1.3679
5528.7,0.0476285,0.0131651,2,7,1,-5516.67,0.388587,0.964143,-0.595465,0.260402,0.139229,-0.264852,-3.48295,-0.754663,2.27495,-4.68447,1.14041,2.55123,0.339815,0.226319,1.36429,0.388587,0.964143,-0.595465,0.260402,0.139229,-0.264852,-6.48295,-0.754663,-0.72505,-7.68447,1.14041,-0.448772,0.339815,0.226319,1.36429
5552.37,0.999916,0.00200592,7,127,0,-5518.35,0.254584,1.22731,-0.51116,0.137761,-0.0914549,-0.0953199,-3.82988,-1.11858,2.94202,-4.83278,0.895241,2.73396,0.429732,-0.172268,0.725797,0.254584,1.22731,-0.51116,0.137761,-0.0914549,-0.0953199,-6.82988,-1.11858,-0.0579785,-7.83278,0.895241,-0.266038,0.429732,-0.172268,0.725797
5555.4,0.990669,0.00356232,6,63,0,-5540.61,0.275223,1.1708,-0.529089,0.160347,-0.0773334,-0.0663413,-3.80337,-1.16468,2.9954,-4.79915,0.920575,2.8815,0.348877,-0.148617,0.743972,0.275223,1.1708,-0.529089,0.160347,-0.0773334,-0.0663413,-6.80337,-1.16468,-0.00459751,-7.79915,0.920575,-0.118496,0.348877,-0.148617,0.743972
5560.67,0.914148,0.00612539,6,63,0,-5549.56,-0.104383,1.06023,0.169957,0.0265308,0.0432841,0.168982,-3.97529,-0.938096,3.20439,-4.93456,1.04165,2.98808,0.335833,0.0997001,1.13976,-0.104383,1.06023,0.169957,0.0265308,0.0432841,0.168982,-6.97529,-0.938096,0.204392,-7.93456,1.04165,-0.0119238,0.335833,0.0997001,1.13976
5561.91,0.761809,0.0086195,6,63,0,-5551.51,-0.295251,1.16018,0.370059,0.143966,-0.087549,-0.0292325,-3.75241,-1.17348,2.92043,-4.7958,0.847437,2.7251,0.348671,-0.00483843,0.964939,-0.295251,1.16018,0.370059,0.143966,-0.087549,-0.0292325,-6.75241,-1.17348,-0.0795673,-7.7958,0.847437,-0.274897,0.348671,-0.00483843,0.964939
5560.06,0.92173,0.00825353,6,127,0,-5551.16,0.178026,1.10847,-0.13526,0.100432,0.04978,0.0429778,-3.94889,-0.90949,3.08898,-4.88173,1.09484,3.11188,0.374971,-0.0287697,0.910449,0.178026,1.10847,-0.13526,0.100432,0.04978,0.0429778,-6.94889,-0.90949,0.0889828,-7.88173,1.09484,0.111884,0.374971,-0.0287697,0.910449
5568.49,0.0985415,0.0117445,5,31,0,-5553.36,-0.0721392,1.19168,-0.0180219,0.163436,-0.0353376,0.0142776,-3.78074,-1.06677,3.07415,-4.78511,1.00501,2.96752,0.393503,-0.0309685,0.913791,-0.0721392,1.19168,-0.0180219,0.163436,-0.0353376,0.0142776,-6.78074,-1.06677,0.0741471,-7.78511,1.00501,-0.0324794,0.393503,-0.0309685,0.913791
5568.26,0.99267,0.00219999,7,255,0,-5563.02,-0.0951278,1.1631,0.048319,0.0808311,-0.0387015,0.0938678,-3.93481,-1.11598,3.1824,-4.90346,0.936414,3.05491,0.353987,-0.0319709,0.97316,-0.0951278,1.1631,0.048319,0.0808311,-0.0387015,0.0938678,-6.93481,-1.11598,0.182402,-7.90346,0.936414,0.0549072,0.353987,-0.0319709,0.97316
5566.92,0.999337,0.00373644,6,127,0,-5562.03,-0.0317483,0.943095,0.106687,0.148445,0.0618705,0.0632438,-3.79321,-0.955174,3.09281,-4.806,1.05802,3.04781,0.377222,0.0243164,0.938666,-0.0317483,0.943095,0.106687,0.148445,0.0618705,0.0632438,-6.79321,-0.955174,0.0928062,-7.806,1.05802,0.0478114,0.377222,0.0243164,0.938666
5569.69,0.996922,0.00639976,7,127,0,-5564.42,-0.01656,1.12722,0.112706,0.120578,0.0255813,0.0110986,-3.85246,-1.00235,3.02995,-4.80499,1.03573,2.85976,0.380247,0.0107089,0.960689,-0.01656,1.12722,0.112706,0.120578,0.0255813,0.0110986,-6.85246,-1.00235,0.0299462,-7.80499,1.03573,-0.140242,0.380247,0.0107089,0.960689
5565.56,0.412881,0.0108142,5,63,0,-5560.43,-0.0903676,1.07484,0.367136,0.0863829,0.0228015,0.081503,-3.86773,-0.959242,2.968,-4.90505,1.0056,3.0751,0.378347,-0.0654426,0.855811,-0.0903676,1.07484,0.367136,0.0863829,0.0228015,0.081503,-6.86773,-0.959242,-0.0320014,-7.90505,1.0056,0.0751041,0.378347,-0.0654426,0.855811
5558.61,0.98019,0.00449401,6,63,0,-5554.27,-0.276358,1.28154,0.27983,0.201819,-0.0312241,-0.0507809,-3.71436,-1.0984,2.9241,-4.7169,1.02558,2.73044,0.349031,-0.00380233,1.14755,-0.276358,1.28154,0.27983,0.201819,-0.0312241,-0.0507809,-6.71436,-1.0984,-0.0759036,-7.7169,1.02558,-0.269556,0.349031,-0.00380233,1.14755
5567.03,0.997781,0.00726038,5,63,0,-5550.81,-0.0892528,1.32544,0.25141,0.177227,-0.0295149,-0.0894952,-3.78042,-1.09275,2.93468,-4.76412,0.970918,2.78626,0.307045,-0.0589412,1.00424,-0.0892528,1.32544,0.25141,0.177227,-0.0295149,-0.0894952,-6.78042,-1.09275,-0.0653195,-7.76412,0.970918,-0.213738,0.307045,-0.0589412,1.00424
5568.04,0.17,0.0121449,5,31,0,-5562.81,-0.128383,1.34001,0.280637,0.183641,-0.0170763,-0.0755444,-3.75403,-1.03846,2.92583,-4.77462,0.977625,2.80032,0.328527,-0.0763679,0.962687,-0.128383,1.34001,0.280637,0.183641,-0.0170763,-0.0755444,-6.75403,-1.03846,-0.0741673,-7.77462,0.977625,-0.199676,0.328527,-0.0763679,0.962687
5568.42,0.97181,0.00290417,7,127,0,-5560.1,-0.12475,1.19478,0.17517,0.128889,-0.000691958,-0.00762244,-3.79256,-1.01727,2.9456,-4.87071,1.00922,3.00803,0.427828,-0.0231936,0.819244,-0.12475,1.19478,0.17517,0.128889,-0.000691958,-0.00762244,-6.79256,-1.01727,-0.0543967,-7.87071,1.00922,0.00802971,0.427828,-0.0231936,0.819244
5563.49,0.741961,0.0045676,5,63,0,-5558.43,-0.15919,1.22186,0.169124,0.148631,0.00230393,-0.0174636,-3.81368,-1.04532,2.942,-4.87646,1.01848,3.00626,0.420679,0.000675815,0.862103,-0.15919,1.22186,0.169124,0.148631,0.00230393,-0.0174636,-6.81368,-1.04532,-0.0579954,-7.87646,1.01848,0.00625965,0.420679,0.000675815,0.862103
5564.22,0.963409,0.00419755,6,127,0,-5551.12,-0.118762,1.16355,0.24052,0.129389,-0.0246867,0.0579782,-3.78457,-1.10908,2.90935,-4.84617,0.98467,3.06259,0.434152,-0.0234512,0.839788,-0.118762,1.16355,0.24052,0.129389,-0.0246867,0.0579782,-6.78457,-1.10908,-0.0906457,-7.84617,0.98467,0.0625937,0.434152,-0.0234512,0.839788
5568.24,0.840067,0.00641974,5,31,0,-5559.67,-0.131162,1.18569,0.146364,0.154795,-0.0583432,0.0465486,-3.76129,-1.09211,3.04072,-4.79433,0.953213,3.03453,0.334489,-0.0230097,0.959466,-0.131162,1.18569,0.146364,0.154795,-0.0583432,0.0465486,-6.76129,-1.09211,0.0407186,-7.79433,0.953213,0.0345269,0.334489,-0.0230097,0.959466
5566.42,1,0.00736831,5,63,0,-5562.36,0.0318702,1.02502,0.111825,0.152743,-0.0476859,-0.0608489,-3.80221,-1.01979,2.89086,-4.80124,0.941011,2.80636,0.399638,-0.0368482,0.861965,0.0318702,1.02502,0.111825,0.152743,-0.0476859,-0.0608489,-6.80221,-1.01979,-0.109144,-7.80124,0.941011,-0.19364,0.399638,-0.0368482,0.861965
5567.93,0.337993,0.0121305,5,31,0,-5563.12,0.0566877,0.92855,0.119962,0.162732,-0.0515796,-0.0502209,-3.74901,-1.12407,2.87765,-4.77482,0.955874,2.84529,0.41113,0.0147328,0.940759,0.0566877,0.92855,0.119962,0.162732,-0.0515796,-0.0502209,-6.74901,-1.12407,-0.122347,-7.77482,0.955874,-0.154705,0.41113,0.0147328,0.940759
5565.81,0.988914,0.00446348,7,127,0,-5560.7,-0.113348,1.36607,0.0709637,0.18098,0.0539128,-0.0757254,-3.71864,-0.916352,2.73806,-4.7727,1.05749,2.84904,0.401303,0.0499685,0.995422,-0.113348,1.36607,0.0709637,0.18098,0.0539128,-0.0757254,-6.71864,-0.916352,-0.261945,-7.7727,1.05749,-0.15096,0.401303,0.0499685,0.995422
5565.87,0.953019,0.00714309,5,31,0,-5561.03,-0.154177,1.29188,0.125699,0.156593,0.0373306,-0.0908954,-3.78625,-0.959812,2.78112,-4.81201,1.1022,2.82662,0.413644,0.0359999,1.02327,-0.154177,1.29188,0.125699,0.156593,0.0373306,-0.0908954,-6.78625,-0.959812,-0.218878,-7.81201,1.1022,-0.17338,0.413644,0.0359999,1.02327
5565.05,0.799812,0.0104912,5,31,0,-5555.77,-0.158085,1.24593,0.162074,0.143352,0.0575313,-0.0989932,-3.7672,-0.900753,2.78225,-4.80369,1.08122,2.72773,0.391878,0.102126,1.07356,-0.158085,1.24593,0.162074,0.143352,0.0575313,-0.0989932,-6.7672,-0.900753,-0.217754,-7.80369,1.08122,-0.272266,0.391878,0.102126,1.07356
5567.44,0.536361,0.010925,6,63,0,-5559.08,-0.0701752,1.22662,0.0620333,0.150931,-0.0882659,0.094345,-3.77425,-1.22927,3.16498,-4.78895,0.897769,3.03307,0.39082,-0.0226414,0.833275,-0.0701752,1.22662,0.0620333,0.150931,-0.0882659,0.094345,-6.77425,-1.22927,0.164979,-7.78895,0.897769,0.033071,0.39082,-0.0226414,0.833275
5565.31,0.767344,0.00636798,6,63,0,-5561.18,-0.087145,1.39238,-0.0983015,0.0572076,-0.037262,0.127915,-3.92576,-1.10219,3.21669,-4.90792,0.950831,3.09239,0.342282,0.0609842,1.06844,-0.087145,1.39238,-0.0983015,0.0572076,-0.037262,0.127915,-6.92576,-1.10219,0.216691,-7.90792,0.950831,0.0923911,0.342282,0.0609842,1.06844
5567.4,0.980972,0.00618931,6,127,0,-5557.65,-0.18867,1.30039,0.279568,0.190151,-0.0306446,0.00683429,-3.7199,-1.13308,3.01004,-4.75832,0.950361,2.90694,0.386051,-0.0392631,0.866782,-0.18867,1.30039,0.279568,0.190151,-0.0306446,0.00683429,-6.7199,-1.13308,0.0100423,-7.75832,0.950361,-0.0930635,0.386051,-0.0392631,0.866782
