# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
-11234.3,1,0.00278004,1,1,0,31783.6,1.6559,0.980047,0.428111,1.87493,0.811446,0.617178,1.09821,-0.28245,-1.14168,-2.29114,-0.0782223,-2.12152,-0.238425,-0.167074,-0.976134,1.6559,0.980047,0.428111,1.87493,0.811446,0.617178,-1.90179,-0.28245,-4.14168,-5.29114,-0.0782223,-5.12152,-0.238425,-0.167074,-0.976134
-5567.64,1,0.00539629,1,1,0,9338.05,1.64938,0.982301,0.423835,2.18577,0.747091,0.610159,0.965737,-0.27137,-1.14211,-2.43734,-0.0464624,-2.1296,-0.0819111,-0.206559,-0.972394,1.64938,0.982301,0.423835,2.18577,0.747091,0.610159,-2.03426,-0.27137,-4.14211,-5.43734,-0.0464624,-5.1296,-0.0819111,-0.206559,-0.972394
-2084.8,1,0.0104922,2,3,0,5095.93,1.64033,0.976956,0.449528,2.13113,0.483485,0.0310074,0.673791,-0.226611,-1.04594,-2.3435,0.094161,-1.92433,0.573141,-0.443988,-0.877377,1.64033,0.976956,0.449528,2.13113,0.483485,0.0310074,-2.32621,-0.226611,-4.04594,-5.3435,0.094161,-4.92433,0.573141,-0.443988,-0.877377
-2084.8,0,0.0203599,0,1,1,2094.31,1.64033,0.976956,0.449528,2.13113,0.483485,0.0310074,0.673791,-0.226611,-1.04594,-2.3435,0.094161,-1.92433,0.573141,-0.443988,-0.877377,1.64033,0.976956,0.449528,2.13113,0.483485,0.0310074,-2.32621,-0.226611,-4.04594,-5.3435,0.094161,-4.92433,0.573141,-0.443988,-0.877377
-1983.75,1,0.00181295,3,7,0,2094.09,1.63575,0.974107,0.44461,2.137,0.479788,0.00891923,0.66182,-0.226482,-1.04239,-2.35612,0.0984686,-1.92091,0.568939,-0.440034,-0.877302,1.63575,0.974107,0.44461,2.137,0.479788,0.00891923,-2.33818,-0.226482,-4.04239,-5.35612,0.0984686,-4.92091,0.568939,-0.440034,-0.877302
-1668.68,1,0.00355923,2,3,0,1984.14,1.63836,0.981094,0.450775,2.14716,0.46459,-0.061304,0.652775,-0.222838,-1.02988,-2.3744,0.116545,-1.90219,0.526193,-0.437855,-0.88124,1.63836,0.981094,0.450775,2.14716,0.46459,-0.061304,-2.34723,-0.222838,-4.02988,-5.3744,0.116545,-4.90219,0.526193,-0.437855,-0.88124
-724.115,1,0.00693959,2,3,0,1654.32,1.63398,0.965711,0.441252,2.11832,0.401255,-0.313301,0.609243,-0.235071,-0.960971,-2.4377,0.178913,-1.84197,0.428929,-0.428412,-0.897089,1.63398,0.965711,0.441252,2.11832,0.401255,-0.313301,-2.39076,-0.235071,-3.96097,-5.4377,0.178913,-4.84197,0.428929,-0.428412,-0.897089
-57.923,1,0.0134212,1,1,0,713.159,1.64182,0.963689,0.42393,2.09448,0.327333,-0.517118,0.584526,-0.19447,-0.928566,-2.45549,0.25096,-1.79416,0.402105,-0.459009,-0.896498,1.64182,0.963689,0.42393,2.09448,0.327333,-0.517118,-2.41547,-0.19447,-3.92857,-5.45549,0.25096,-4.79416,0.402105,-0.459009,-0.896498
1968.66,1,0.0257257,1,1,0,-108.948,1.646,0.913612,0.417263,2.12138,0.047131,-1.25006,0.420305,-0.206839,-0.78152,-2.61054,0.430593,-1.54773,0.360855,-0.568858,-0.848751,1.646,0.913612,0.417263,2.12138,0.047131,-1.25006,-2.57969,-0.206839,-3.78152,-5.61054,0.430593,-4.54773,0.360855,-0.568858,-0.848751
1968.66,0,0.0488444,0,1,1,-1961.43,1.646,0.913612,0.417263,2.12138,0.047131,-1.25006,0.420305,-0.206839,-0.78152,-2.61054,0.430593,-1.54773,0.360855,-0.568858,-0.848751,1.646,0.913612,0.417263,2.12138,0.047131,-1.25006,-2.57969,-0.206839,-3.78152,-5.61054,0.430593,-4.54773,0.360855,-0.568858,-0.848751
3337.34,1,0.00489598,3,7,0,-1970.11,1.63526,0.965795,0.422648,2.13834,-0.0207405,-1.81026,0.0758891,-0.226844,-0.679025,-2.51329,0.616658,-1.22079,0.379628,-0.759051,-0.78815,1.63526,0.965795,0.422648,2.13834,-0.0207405,-1.81026,-2.92411,-0.226844,-3.67903,-5.51329,0.616658,-4.22079,0.379628,-0.759051,-0.78815
3707.97,0.99068,0.00934261,2,3,0,-3337.48,1.59965,0.981102,0.418742,2.15896,0.0600408,-2.00387,0.00554166,-0.259224,-0.666859,-2.5426,0.620251,-1.08568,0.413352,-0.840341,-0.782102,1.59965,0.981102,0.418742,2.15896,0.0600408,-2.00387,-2.99446,-0.259224,-3.66686,-5.5426,0.620251,-4.08568,0.413352,-0.840341,-0.782102
4383.65,0.672214,0.017178,2,3,0,-3752.04,1.41943,1.00566,0.335556,2.25021,0.181723,-2.35458,-0.233013,-0.31665,-0.621108,-2.56192,0.659845,-0.672912,0.471411,-1.12149,-0.595842,1.41943,1.00566,0.335556,2.25021,0.181723,-2.35458,-3.23301,-0.31665,-3.62111,-5.56192,0.659845,-3.67291,0.471411,-1.12149,-0.595842
4421.89,0.333333,0.0125899,2,3,0,-4382.1,1.39791,1.01707,0.339989,2.22798,0.159206,-2.38106,-0.237803,-0.295594,-0.623799,-2.56578,0.694609,-0.638938,0.438831,-1.12888,-0.565883,1.39791,1.01707,0.339989,2.22798,0.159206,-2.38106,-3.2378,-0.295594,-3.6238,-5.56578,0.694609,-3.63894,0.438831,-1.12888,-0.565883
4648.47,0.971341,0.00355319,4,15,0,-4407.95,1.20177,0.959665,0.0834153,2.3007,0.132722,-2.51685,-0.400866,-0.45243,-0.629246,-2.55332,0.659378,-0.254905,0.277022,-1.16898,-0.316129,1.20177,0.959665,0.0834153,2.3007,0.132722,-2.51685,-3.40087,-0.45243,-3.62925,-5.55332,0.659378,-3.25491,0.277022,-1.16898,-0.316129
4694.43,0.940474,0.0061506,3,7,0,-4643.85,1.1531,0.985437,0.0594831,2.26819,0.143076,-2.48517,-0.391012,-0.551135,-0.628215,-2.58973,0.689866,-0.190758,0.284728,-1.14017,-0.304108,1.1531,0.985437,0.0594831,2.26819,0.143076,-2.48517,-3.39101,-0.551135,-3.62821,-5.58973,0.689866,-3.19076,0.284728,-1.14017,-0.304108
4697.2,0.933916,0.0096817,3,7,0,-4690.92,1.14322,0.988389,0.0649997,2.27244,0.149331,-2.48366,-0.388367,-0.566238,-0.627177,-2.58717,0.694145,-0.187505,0.283015,-1.14545,-0.291151,1.14322,0.988389,0.0649997,2.27244,0.149331,-2.48366,-3.38837,-0.566238,-3.62718,-5.58717,0.694145,-3.1875,0.283015,-1.14545,-0.291151
4697.2,0.0407259,0.0148548,2,7,1,-4690.23,1.14322,0.988389,0.0649997,2.27244,0.149331,-2.48366,-0.388367,-0.566238,-0.627177,-2.58717,0.694145,-0.187505,0.283015,-1.14545,-0.291151,1.14322,0.988389,0.0649997,2.27244,0.149331,-2.48366,-3.38837,-0.566238,-3.62718,-5.58717,0.694145,-3.1875,0.283015,-1.14545,-0.291151
5060.93,0.995805,0.00196054,7,127,0,-4688.32,0.367887,1.68034,-1.06915,1.44188,-0.141028,-1.77668,-1.27521,-1.20285,-0.569788,-3.43151,0.623174,0.636901,0.277789,-0.570504,0.468871,0.367887,1.68034,-1.06915,1.44188,-0.141028,-1.77668,-4.27521,-1.20285,-3.56979,-6.43151,0.623174,-2.3631,0.277789,-0.570504,0.468871
